Comment,Designator,Footprint,Quantity
USB_C_Plug,P1,GCT_USB4155-03-C_REVA,1
100nF,C1-16,C_0402_5MIL_DWS,16
39 pF,"C17,C18",C_0402_5MIL_DWS,2
2.2uF,"C19,C20",C_0603_5MIL_DWS,2
100nF/50V,C21,C_0805_5MIL_DWS,1
1.1K/1%,R1-2,R_0603_5MIL_DWS,2
2.2K,R3-4,R_0402_5MIL_DWS,2
22R,R5-6,R_0402_5MIL_DWS,2
10R,R7,R_0805_5MIL_DWS,1
2.49K/1%,R8,R_0603_5MIL_DWS,1
5.1k,R9,R_0402_1005Metric,1
dnp,R10,R_0402_5MIL_DWS,1
RTL8153VCCG,U1,QFN48-6x6mm-OLIMEX_V2,1
SY8089AAAC(SOT23-5),U2,SOT-23-5,1
2.2uH,L1,CD32,1
FB0805,FB1,L_0805_5MIL_DWS,1
SMD РЕЗ. 3225 25 Mhz 20 pf 20ppm 4p,X1,TSX-3.2x2.5mm_GND(4),1
2301994-5,J1,23019945,1
